year,city,n
2006,Amasya,0
2006,Ankara,8249
2006,Antalya,1977
2006,Ardahan,0
2006,Artvin,0
2006,Aydin,430
2006,Balikesir,0
2006,Bartin,0
2006,Batman,0
2006,Bayburt,0
2006,Bilecik,0
2006,Bingol,0
2006,Bitlis,420
2006,Bolu,0
2006,Burdur,0
2006,Bursa,1905
2006,Canakkale,0
2006,Cankiri,0
2006,Corum,0
2006,Denizli,0
2006,Diyarbakir,709
2006,Duzce,0
2006,Edirne,0
2006,Elazig,0
2006,Erzincan,0
2006,Erzurum,247
2006,Eskisehir,200
2006,Gaziantep,0
2006,Giresun,178
2006,Gumushane,370
2006,Hakkari,750
2006,Hatay,300
2006,Igdir,0
2006,Isparta,0
2006,Istanbul,10972
2006,Izmir,1902
2006,Kahramanmaras,0
2006,Karabuk,0
2006,Karaman,0
2006,Kars,311
2006,Kastamonu,0
2006,Kayseri,0
2006,Kilis,0
2006,Kirikkale,0
2006,Kirklareli,0
2006,Kirsehir,0
2006,Kocaeli,820
2006,Konya,427
2006,Kutahya,0
2006,Malatya,0
2006,Manisa,0
2006,Mardin,0
2006,Mersin,220
2006,Mugla,0
2006,Mus,670
2006,Nevsehir,0
2006,Nigde,0
2006,Ordu,209
2006,Osmaniye,0
2006,Rize,0
2006,Sakarya,0
2006,Samsun,733
2006,Sanliurfa,310
2006,Siirt,0
2006,Sinop,300
2006,Sirnak,0
2006,Sivas,344
2006,Tekirdag,0
2006,Tokat,36
2006,Trabzon,470
2006,Tunceli,0
2006,Usak,0
2006,Van,3369
2006,Yalova,0
2006,Yozgat,0
2006,Zonguldak,0
2007,Adana,1319
2007,Adiyaman,0
2007,Afyonkarahisar,0
2007,Agri,0
2007,Aksaray,0
2007,Amasya,0
2007,Ankara,9142
2007,Antalya,3240
2007,Ardahan,0
2007,Artvin,0
2007,Aydin,636
2007,Balikesir,0
2007,Bartin,0
2007,Batman,0
2007,Bayburt,0
2007,Bilecik,0
2007,Bingol,0
2007,Bitlis,461
2007,Bolu,0
2007,Burdur,0
2007,Bursa,2716
2007,Canakkale,0
2007,Cankiri,0
2007,Corum,0
2007,Denizli,0
2007,Diyarbakir,706
2007,Duzce,0
2007,Edirne,0
2007,Elazig,0
2007,Erzincan,460
2007,Erzurum,655
2007,Eskisehir,200
2007,Gaziantep,0
2007,Giresun,178
2007,Gumushane,0
2007,Hakkari,750
2007,Hatay,612
2007,Igdir,0
2007,Isparta,0
2007,Istanbul,8159
2007,Izmir,3305
2007,Kahramanmaras,0
2007,Karabuk,0
2007,Karaman,0
2007,Kars,311
2007,Kastamonu,0
2007,Kayseri,0
2007,Kilis,0
2007,Kirikkale,0
2007,Kirklareli,660
2007,Kirsehir,0
2007,Kocaeli,1410
2007,Konya,293
2007,Kutahya,400
2007,Malatya,0
2007,Manisa,0
2007,Mardin,0
2007,Mersin,200
2007,Mugla,0
2007,Mus,710
2007,Nevsehir,0
2007,Nigde,0
2007,Ordu,209
2007,Osmaniye,0
2007,Rize,0
2007,Sakarya,0
2007,Samsun,930
2007,Sanliurfa,300
2007,Siirt,0
2007,Sinop,350
2007,Sirnak,0
2007,Sivas,344
2007,Tekirdag,0
2007,Tokat,36
2007,Trabzon,460
2007,Tunceli,0
2007,Usak,0
2007,Van,3350
2007,Yalova,0
2007,Yozgat,0
2007,Zonguldak,0
2008,Adana,1409
2008,Adiyaman,0
2008,Afyonkarahisar,569
2008,Agri,0
2008,Aksaray,0
2008,Amasya,0
2008,Ankara,8967
2008,Antalya,1730
2008,Ardahan,0
2008,Artvin,0
2008,Aydin,636
2008,Balikesir,0
2008,Bartin,0
2008,Batman,300
2008,Bayburt,0
2008,Bilecik,0
2008,Bingol,0
2008,Bitlis,210
2008,Bolu,200
2008,Burdur,280
2008,Bursa,3183
2008,Canakkale,0
2008,Cankiri,0
2008,Corum,350
2008,Denizli,0
2008,Diyarbakir,701
2008,Duzce,0
2008,Edirne,0
2008,Elazig,0
2008,Erzincan,360
2008,Erzurum,655
2008,Eskisehir,1147
2008,Gaziantep,0
2008,Giresun,170
2008,Gumushane,0
2008,Hakkari,650
2008,Hatay,612
2008,Igdir,0
2008,Isparta,0
2008,Istanbul,23281
2008,Izmir,11970
2008,Kahramanmaras,0
2008,Karabuk,0
2008,Karaman,0
2008,Kars,311
2008,Kastamonu,0
2008,Kayseri,0
2008,Kilis,0
2008,Kirikkale,0
2008,Kirklareli,403
2008,Kirsehir,0
2008,Kocaeli,1415
2008,Konya,293
2008,Kutahya,390
2008,Malatya,0
2008,Manisa,2219
2008,Mardin,470
2008,Mersin,1100
2008,Mugla,0
2008,Mus,550
2008,Nevsehir,0
2008,Nigde,0
2008,Ordu,207
2008,Osmaniye,1000
2008,Rize,0
2008,Sakarya,250
2008,Samsun,1493
2008,Sanliurfa,325
2008,Siirt,0
2008,Sinop,300
2008,Sirnak,0
2008,Sivas,344
2008,Tekirdag,0
2008,Tokat,200
2008,Trabzon,330
2008,Tunceli,0
2008,Usak,351
2008,Van,1408
2008,Yalova,185
2008,Yozgat,0
2008,Zonguldak,0
2009,Adana,1499
2009,Adiyaman,0
2009,Afyonkarahisar,660
2009,Agri,0
2009,Aksaray,0
2009,Amasya,0
2009,Ankara,7621
2009,Antalya,908
2009,Ardahan,0
