type,year,city,n
Yerli,2007,Kirklareli,64
Yerli,2007,Kirsehir,0
Yerli,2007,Kocaeli,216
Yerli,2007,Konya,29
Yerli,2007,Kutahya,96
Yerli,2007,Malatya,0
Yerli,2007,Manisa,0
Yerli,2007,Mardin,0
Yerli,2007,Mersin,43
Yerli,2007,Mugla,0
Yerli,2007,Mus,45
Yerli,2007,Nevsehir,0
Yerli,2007,Nigde,0
Yerli,2007,Ordu,38
Yerli,2007,Osmaniye,0
Yerli,2007,Rize,0
Yerli,2007,Sakarya,0
Yerli,2007,Samsun,171
Yerli,2007,Sanliurfa,35
Yerli,2007,Siirt,0
Yerli,2007,Sinop,25
Yerli,2007,Sirnak,0
Yerli,2007,Sivas,106
Yerli,2007,Tekirdag,0
Yerli,2007,Tokat,50
Yerli,2007,Trabzon,82
Yerli,2007,Tunceli,0
Yerli,2007,Usak,0
Yerli,2007,Van,127
Yerli,2007,Yalova,0
Yerli,2007,Yozgat,0
Yerli,2007,Zonguldak,0
Yerli,2008,Adana,1155
Yerli,2008,Adiyaman,0
Yerli,2008,Afyonkarahisar,165
Yerli,2008,Agri,0
Yerli,2008,Aksaray,0
Yerli,2008,Amasya,0
Yerli,2008,Ankara,2246
Yerli,2008,Antalya,295
Yerli,2008,Ardahan,0
Yerli,2008,Artvin,0
Yerli,2008,Aydin,0
Yerli,2008,Balikesir,0
Yerli,2008,Bartin,0
Yerli,2008,Batman,46
Yerli,2008,Bayburt,0
Yerli,2008,Bilecik,0
Yerli,2008,Bingol,0
Yerli,2008,Bitlis,9
Yerli,2008,Bolu,18
Yerli,2008,Burdur,49
Yerli,2008,Bursa,428
Yerli,2008,Canakkale,0
Yerli,2008,Cankiri,0
Yerli,2008,Corum,23
Yerli,2008,Denizli,0
Yerli,2008,Diyarbakir,168
Yerli,2008,Duzce,0
Yerli,2008,Edirne,0
Yerli,2008,Elazig,0
Yerli,2008,Erzincan,8
Yerli,2008,Erzurum,63
Yerli,2008,Eskisehir,243
Yerli,2008,Gaziantep,0
Yerli,2008,Giresun,45
Yerli,2008,Gumushane,0
Yerli,2008,Hakkari,12
Yerli,2008,Hatay,17
Yerli,2008,Igdir,0
Yerli,2008,Isparta,0
Yerli,2008,Istanbul,4608
Yerli,2008,Izmir,610
Yerli,2008,Kahramanmaras,0
Yerli,2008,Karabuk,0
Yerli,2008,Karaman,0
Yerli,2008,Kars,100
Yerli,2008,Kastamonu,0
Yerli,2008,Kayseri,0
Yerli,2008,Kilis,0
Yerli,2008,Kirikkale,0
Yerli,2008,Kirklareli,20
Yerli,2008,Kirsehir,0
Yerli,2008,Kocaeli,258
Yerli,2008,Konya,151
Yerli,2008,Kutahya,64
Yerli,2008,Malatya,0
Yerli,2008,Manisa,230
Yerli,2008,Mardin,20
Yerli,2008,Mersin,152
Yerli,2008,Mugla,0
Yerli,2008,Mus,5
Yerli,2008,Nevsehir,0
Yerli,2008,Nigde,0
Yerli,2008,Ordu,75
Yerli,2008,Osmaniye,3
Yerli,2008,Rize,0
Yerli,2008,Sakarya,5
Yerli,2008,Samsun,359
Yerli,2008,Sanliurfa,328
Yerli,2008,Siirt,0
Yerli,2008,Sinop,110
Yerli,2008,Sirnak,0
Yerli,2008,Sivas,72
Yerli,2008,Tekirdag,0
Yerli,2008,Tokat,624
Yerli,2008,Trabzon,89
Yerli,2008,Tunceli,0
Yerli,2008,Usak,100
Yerli,2008,Van,104
Yerli,2008,Yalova,100
Yerli,2008,Yozgat,0
Yerli,2008,Zonguldak,0
Yerli,2009,Adana,320
Yerli,2009,Adiyaman,0
Yerli,2009,Afyonkarahisar,76
Yerli,2009,Agri,0
Yerli,2009,Aksaray,0
Yerli,2009,Amasya,0
Yerli,2009,Ankara,2282
Yerli,2009,Antalya,232
Yerli,2009,Ardahan,0
Yerli,2009,Artvin,0
Yerli,2009,Aydin,0
Yerli,2009,Balikesir,0
Yerli,2009,Bartin,0
Yerli,2009,Batman,37
Yerli,2009,Bayburt,0
Yerli,2009,Bilecik,0
Yerli,2009,Bingol,0
Yerli,2009,Bitlis,54
Yerli,2009,Bolu,24
Yerli,2009,Burdur,0
Yerli,2009,Bursa,487
Yerli,2009,Canakkale,0
Yerli,2009,Cankiri,0
Yerli,2009,Corum,72
Yerli,2009,Denizli,0
Yerli,2009,Diyarbakir,145
Yerli,2009,Duzce,0
Yerli,2009,Edirne,0
Yerli,2009,Elazig,15
Yerli,2009,Erzincan,10
Yerli,2009,Erzurum,252
Yerli,2009,Eskisehir,404
Yerli,2009,Gaziantep,0
Yerli,2009,Giresun,40
Yerli,2009,Gumushane,0
Yerli,2009,Hakkari,30
Yerli,2009,Hatay,27
Yerli,2009,Igdir,0
Yerli,2009,Isparta,0
Yerli,2009,Istanbul,5746
Yerli,2009,Izmir,791
Yerli,2009,Kahramanmaras,12
Yerli,2009,Karabuk,0
Yerli,2009,Karaman,0
Yerli,2009,Kars,6
Yerli,2009,Kastamonu,0
Yerli,2009,Kayseri,13
Yerli,2009,Kilis,0
Yerli,2009,Kirikkale,0
Yerli,2009,Kirklareli,42
Yerli,2009,Kirsehir,0
Yerli,2009,Kocaeli,225
Yerli,2009,Konya,184
Yerli,2009,Kutahya,64
Yerli,2009,Malatya,0
Yerli,2009,Manisa,150
Yerli,2009,Mardin,0
Yerli,2009,Mersin,52
Yerli,2009,Mugla,0
Yerli,2009,Mus,0
Yerli,2009,Nevsehir,0
Yerli,2009,Nigde,0
Yerli,2009,Ordu,83
Yerli,2009,Osmaniye,11
Yerli,2009,Rize,0
Yerli,2009,Sakarya,11
Yerli,2009,Samsun,1069
Yerli,2009,Sanliurfa,84
Yerli,2009,Siirt,0
Yerli,2009,Sinop,90
Yerli,2009,Sirnak,0
Yerli,2009,Sivas,90
Yerli,2009,Tekirdag,0
Yerli,2009,Tokat,0
Yerli,2009,Trabzon,33
Yerli,2009,Tunceli,0
Yerli,2009,Usak,20
Yerli,2009,Van,265
Yerli,2009,Yalova,0
Yerli,2009,Yozgat,0
Yerli,2009,Zonguldak,0
Yerli,2010,Adana,695
Yerli,2010,Adiyaman,15
Yerli,2010,Afyonkarahisar,26
Yerli,2010,Agri,0
Yerli,2010,Aksaray,16
Yerli,2010,Amasya,0
Yerli,2010,Ankara,2618
Yerli,2010,Antalya,228
Yerli,2010,Ardahan,14
Yerli,2010,Artvin,0
Yerli,2010,Aydin,103
Yerli,2010,Balikesir,0
Yerli,2010,Bartin,32
Yerli,2010,Batman,92
Yerli,2010,Bayburt,0
Yerli,2010,Bilecik,0
Yerli,2010,Bingol,11
Yerli,2010,Bitlis,26
Yerli,2010,Bolu,16
Yerli,2010,Burdur,0
Yerli,2010,Bursa,636
Yerli,2010,Canakkale,0
Yerli,2010,Cankiri,0
Yerli,2010,Corum,12
Yerli,2010,Denizli,56
Yerli,2010,Diyarbakir,178
Yerli,2010,Duzce,68
Yerli,2010,Edirne,0
Yerli,2010,Elazig,50
Yerli,2010,Erzincan,5
Yerli,2010,Erzurum,251
Yerli,2010,Eskisehir,389
Yerli,2010,Gaziantep,38
Yerli,2010,Giresun,84
Yerli,2010,Gumushane,0
Yerli,2010,Hakkari,7
Yerli,2010,Hatay,81
Yerli,2010,Igdir,5
Yerli,2010,Isparta,0
Yerli,2010,Istanbul,8349
Yerli,2010,Izmir,1382
Yerli,2010,Kahramanmaras,6
Yerli,2010,Karabuk,12
Yerli,2010,Karaman,0
Yerli,2010,Kars,9
Yerli,2010,Kastamonu,0
Yerli,2010,Kayseri,43
Yerli,2010,Kilis,0
Yerli,2010,Kirikkale,24
Yerli,2010,Kirklareli,95
Yerli,2010,Kirsehir,61
Yerli,2010,Kocaeli,294
Yerli,2010,Konya,185
Yerli,2010,Kutahya,14
Yerli,2010,Malatya,13
Yerli,2010,Manisa,189
Yerli,2010,Mardin,19
Yerli,2010,Mersin,65
Yerli,2010,Mugla,94
Yerli,2010,Mus,0
Yerli,2010,Nevsehir,18
Yerli,2010,Nigde,20
Yerli,2010,Ordu,393
Yerli,2010,Osmaniye,44
Yerli,2010,Rize,0
Yerli,2010,Sakarya,127
Yerli,2010,Samsun,779
Yerli,2010,Sanliurfa,84
Yerli,2010,Siirt,6
Yerli,2010,Sinop,186
Yerli,2010,Sirnak,0
Yerli,2010,Sivas,103
Yerli,2010,Tekirdag,0
Yerli,2010,Tokat,0
Yerli,2010,Trabzon,168
Yerli,2010,Tunceli,4
Yerli,2010,Usak,113
Yerli,2010,Van,180
Yerli,2010,Yalova,52
Yerli,2010,Yozgat,0
Yerli,2010,Zonguldak,29
Yerli,2011,Adana,821
Yerli,2011,Adiyaman,16
