type,year,city,n
Yerli,2006,Kutahya,0
Yerli,2006,Malatya,0
Yerli,2006,Manisa,0
Yerli,2006,Mardin,0
Yerli,2006,Mersin,7
Yerli,2006,Mugla,0
Yerli,2006,Mus,7
Yerli,2006,Nevsehir,0
Yerli,2006,Nigde,0
Yerli,2006,Ordu,4
Yerli,2006,Osmaniye,0
Yerli,2006,Rize,0
Yerli,2006,Sakarya,0
Yerli,2006,Samsun,13
Yerli,2006,Sanliurfa,30
Yerli,2006,Siirt,0
Yerli,2006,Sinop,30
Yerli,2006,Sirnak,0
Yerli,2006,Sivas,4
Yerli,2006,Tekirdag,0
Yerli,2006,Tokat,2
Yerli,2006,Trabzon,8
Yerli,2006,Tunceli,0
Yerli,2006,Usak,0
Yerli,2006,Van,20
Yerli,2006,Yalova,0
Yerli,2006,Yozgat,0
Yerli,2006,Zonguldak,0
Yerli,2007,Adana,29
Yerli,2007,Adiyaman,0
Yerli,2007,Afyonkarahisar,0
Yerli,2007,Agri,0
Yerli,2007,Aksaray,0
Yerli,2007,Amasya,0
Yerli,2007,Ankara,117
Yerli,2007,Antalya,39
Yerli,2007,Ardahan,0
Yerli,2007,Artvin,0
Yerli,2007,Aydin,3
Yerli,2007,Balikesir,0
Yerli,2007,Bartin,0
Yerli,2007,Batman,0
Yerli,2007,Bayburt,0
Yerli,2007,Bilecik,0
Yerli,2007,Bingol,0
Yerli,2007,Bitlis,9
Yerli,2007,Bolu,0
Yerli,2007,Burdur,0
Yerli,2007,Bursa,56
Yerli,2007,Canakkale,0
Yerli,2007,Cankiri,0
Yerli,2007,Corum,0
Yerli,2007,Denizli,0
Yerli,2007,Diyarbakir,11
Yerli,2007,Duzce,0
Yerli,2007,Edirne,0
Yerli,2007,Elazig,0
Yerli,2007,Erzincan,3
Yerli,2007,Erzurum,6
Yerli,2007,Eskisehir,3
Yerli,2007,Gaziantep,0
Yerli,2007,Giresun,1
Yerli,2007,Gumushane,0
Yerli,2007,Hakkari,22
Yerli,2007,Hatay,3
Yerli,2007,Igdir,0
Yerli,2007,Isparta,0
Yerli,2007,Istanbul,79
Yerli,2007,Izmir,63
Yerli,2007,Kahramanmaras,0
Yerli,2007,Karabuk,0
Yerli,2007,Karaman,0
Yerli,2007,Kars,70
Yerli,2007,Kastamonu,0
Yerli,2007,Kayseri,0
Yerli,2007,Kilis,0
Yerli,2007,Kirikkale,0
