type,year,city,n
Yerli,2004,Denizli,0
Yerli,2004,Diyarbakir,10141
Yerli,2004,Duzce,0
Yerli,2004,Edirne,0
Yerli,2004,Elazig,300
Yerli,2004,Erzincan,0
Yerli,2004,Erzurum,23092
Yerli,2004,Eskisehir,2980
Yerli,2004,Gaziantep,0
Yerli,2004,Giresun,7400
Yerli,2004,Gumushane,175
Yerli,2004,Hakkari,2100
Yerli,2004,Hatay,0
Yerli,2004,Igdir,0
Yerli,2004,Isparta,0
Yerli,2004,Istanbul,831149
Yerli,2004,Izmir,136244
Yerli,2004,Kahramanmaras,0
Yerli,2004,Karabuk,0
Yerli,2004,Karaman,0
Yerli,2004,Kars,9285
Yerli,2004,Kastamonu,0
Yerli,2004,Kayseri,2100
Yerli,2004,Kilis,0
Yerli,2004,Kirikkale,0
Yerli,2004,Kirklareli,0
Yerli,2004,Kirsehir,0
Yerli,2004,Kocaeli,2000
Yerli,2004,Konya,30706
Yerli,2004,Kutahya,0
Yerli,2004,Malatya,0
Yerli,2004,Manisa,0
Yerli,2004,Mardin,0
Yerli,2004,Mersin,9500
Yerli,2004,Mugla,0
Yerli,2004,Mus,3000
Yerli,2004,Nevsehir,0
Yerli,2004,Nigde,0
Yerli,2004,Ordu,32247
Yerli,2004,Osmaniye,0
Yerli,2004,Rize,0
Yerli,2004,Sakarya,0
Yerli,2004,Samsun,28764
Yerli,2004,Sanliurfa,4000
Yerli,2004,Siirt,0
Yerli,2004,Sinop,8100
Yerli,2004,Sirnak,0
Yerli,2004,Sivas,21960
Yerli,2004,Tekirdag,0
Yerli,2004,Tokat,1600
Yerli,2004,Trabzon,11575
Yerli,2004,Tunceli,0
Yerli,2004,Usak,0
Yerli,2004,Van,33183
Yerli,2004,Yalova,0
Yerli,2004,Yozgat,0
Yerli,2004,Zonguldak,0
Yerli,2005,Adana,119142
Yerli,2005,Adiyaman,0
Yerli,2005,Afyonkarahisar,0
Yerli,2005,Agri,0
Yerli,2005,Aksaray,0
Yerli,2005,Amasya,0
Yerli,2005,Ankara,783952
Yerli,2005,Antalya,35196
Yerli,2005,Ardahan,0
Yerli,2005,Artvin,0
Yerli,2005,Aydin,40510
Yerli,2005,Balikesir,0
Yerli,2005,Bartin,0
Yerli,2005,Batman,0
Yerli,2005,Bayburt,0
Yerli,2005,Bilecik,0
Yerli,2005,Bingol,0
Yerli,2005,Bitlis,3000
Yerli,2005,Bolu,0
Yerli,2005,Burdur,0
Yerli,2005,Bursa,147557
Yerli,2005,Canakkale,0
Yerli,2005,Cankiri,0
Yerli,2005,Corum,22000
Yerli,2005,Denizli,0
Yerli,2005,Diyarbakir,27936
Yerli,2005,Duzce,0
Yerli,2005,Edirne,0
Yerli,2005,Elazig,0
Yerli,2005,Erzincan,0
Yerli,2005,Erzurum,21656
Yerli,2005,Eskisehir,7919
Yerli,2005,Gaziantep,0
Yerli,2005,Giresun,400
Yerli,2005,Gumushane,300
Yerli,2005,Hakkari,1300
Yerli,2005,Hatay,4500
Yerli,2005,Igdir,0
Yerli,2005,Isparta,0
Yerli,2005,Istanbul,439121
Yerli,2005,Izmir,131293
Yerli,2005,Kahramanmaras,0
Yerli,2005,Karabuk,0
