"type","city","year","n"
"","","2006","6.97"
"","","2007","7.63"
"","","2008","8.42"
"","","2009","10.5"
"","","2010","8.5"
"","","2011","12.0"
"","","2012","12.75"
"","","2013","22.79"
"","","2014","22.99"
"","","2015","28.53"
"","","2016","34.02"
"","Hatay-31","1980","28981.0"
"","","1981","28703.0"
"","","1982","41031.0"
"","","1983","53565.0"
"","","1984","78657.0"
"","","1985","1116.0"
"","","1986","1354.0"
"","","1987","1672.0"
"","","1988","3048.0"
"","","1989","5068.0"
"","","1990","8369.0"
"","","1991","12768.0"
"","","1992","23240.0"
"","","1993","36689.0"
"","","1994","76243.0"
"","","1995","172287.0"
"","","1996","294644.0"
"","","1997","458052.0"
"","","1998","883184.0"
"","","1999","1278822.08"
"","","2000","1841658.25"
"","","2001","2539351.85"
"","","2002","3695706.02"
"","","2003","4378.49"
"","","2004","4867.2"
"","","2005","5.09"
"","","2006","5.99"
"","","2007","5.9"
"","","2008","7.15"
"","","2009","8.19"
"","","2010","8.89"
"","","2011","9.0"
"","","2012","10.52"
"","","2013","12.2"
"","","2014","15.14"
"","","2015","17.39"
"","","2016","19.63"
"","Iğdır-76","1993","38438.0"
"","","1994","83645.0"
"","","1995","196458.0"
"","","1996","302916.0"
"","","1997","582638.0"
"","","1998","1308333.0"
"","","1999","1977272.73"
"","","2000","2327272.73"
"","","2001","4187500.0"
"","","2002","4906500.0"
"","","2003","5381.94"
"","","2004","6305.56"
"","","2005","5.79"
"","","2006","6.35"
"","","2007","6.77"
"","","2008","7.39"
"","","2009","8.71"
"","","2010","10.7"
"","","2011","12.47"
"","","2012","13.55"
"","","2013","17.5"
"","","2014","20.32"
"","","2015","21.08"
"","","2016","24.63"
"","Isparta-32","1980","30462.0"
"","","1981","36875.0"
"","","1982","48490.0"
"","","1983","56541.0"
"","","1984","86203.0"
"","","1985","1302.0"
"","","1986","1677.0"
"","","1987","2289.0"
"","","1988","3684.0"
"","","1989","6291.0"
"","","1990","11394.0"
"","","1991","17890.0"
"","","1992","25753.0"
"","","1993","39682.0"
"","","1994","90675.0"
"","","1995","182006.0"
"","","1996","280212.0"
"","","1997","564731.0"
"","","1998","1192159.0"
"","","1999","1533244.75"
"","","2000","2286872.9"
"","","2001","3416577.68"
"","","2002","4413988.1"
"","","2003","5833.54"
"","","2004","6313.99"
"","","2005","6.7"
"","","2006","7.5"
"","","2007","8.05"
"","","2008","9.79"
"","","2009","10.39"
"","","2010","11.71"
"","","2011","12.23"
"","","2012","12.95"
"","","2013","15.56"
"","","2014","17.92"
"","","2015","20.59"
"","","2016","22.42"
"","İstanbul-34","1980","28615.0"
"","","1981","40174.0"
"","","1982","46283.0"
"","","1983","61897.0"
"","","1984","90347.0"
"","","1985","1462.0"
"","","1986","1827.0"
"","","1987","1957.0"
"","","1988","3656.0"
"","","1990","10972.0"
"","","1991","15167.0"
"","","1992","25868.0"
"","","1993","40000.0"
"","","1994","96062.0"
"","","1995","198055.0"
"","","1996","311249.0"
"","","1997","532638.0"
"","","1998","1502083.0"
"","","1999","1702270.83"
"","","2000","2656060.61"
"","","2001","3458333.33"
"","","2002","3900000.0"
"","","2003","5694.44"
"","","2004","6347.22"
"","","2005","7.64"
"","","2006","8.49"
"","","2007","8.7"
"","","2008","10.61"
"","","2009","11.19"
"","","2010","11.69"
"","","2011","15.09"
"","","2012","16.82"
"","","2013","20.06"
"","","2014","28.0"
"","","2015","28.0"
"","","2016","28.0"
"","İzmir-35","1980","24559.0"
"","","1981","33118.0"
"","","1982","37773.0"
"","","1983","56276.0"
"","","1984","78623.0"
"","","1985","1268.0"
"","","1986","1627.0"
"","","1987","2142.0"
"","","1988","3647.0"
"","","1989","5939.0"
"","","1990","10399.0"
"","","1991","15159.0"
"","","1992","25178.0"
"","","1993","38129.0"
"","","1994","76034.0"
"","","1995","160339.0"
"","","1996","261087.0"
"","","1997","493661.0"
"","","1998","1013407.0"
"","","1999","1364959.67"
"","","2000","1797036.85"
"","","2001","2567457.46"
"","","2002","3905043.71"
"","","2003","5360.76"
"","","2004","6733.74"
"","","2005","6.06"
"","","2006","7.27"
"","","2007","7.81"
"","","2008","8.46"
"","","2009","9.55"
"","","2010","11.41"
"","","2011","11.78"
"","","2012","12.04"
"","","2013","13.08"
"","","2014","14.27"
"","","2015","16.49"
"","","2016","20.84"
"","Kahramanmaraş-46","1980","34495.0"
"","","1981","45118.0"
"","","1982","49086.0"
"","","1983","62618.0"
"","","1984","91190.0"
"","","1985","1525.0"
"","","1986","1876.0"
"","","1987","2361.0"
"","","1988","3460.0"
"","","1989","6079.0"
"","","1990","10959.0"
"","","1991","17018.0"
"","","1992","26612.0"
"","","1993","42783.0"
"","","1994","86354.0"
"","","1995","183158.0"
"","","1996","326283.0"
"","","1997","524899.0"
"","","1998","1126679.0"
"","","1999","1606139.25"
"","","2000","2501207.01"
"","","2001","2893518.52"
"","","2002","4036466.6"
"","","2003","5614.31"
"","","2004","6827.26"
"","","2005","6.66"
"","","2006","7.35"
"","","2007","7.26"
"","","2008","7.94"
"","","2009","8.68"
"","","2010","9.89"
"","","2011","12.15"
"","","2012","13.4"
"","","2013","15.06"
"","","2014","17.68"
"","","2015","19.73"
"","","2016","21.86"
"","Karabük-78","1995","180319.0"
"","","1996","294333.0"
"","","1997","475625.0"
"","","1998","1077500.0"
"","","1999","1675000.0"
"","","2000","2359722.22"
"","","2001","3033680.56"
"","","2002","4212500.0"
"","","2003","4787.5"
"","","2004","5822.92"
"","","2005","7.01"
"","","2006","7.42"
"","","2007","6.97"
"","","2008","7.4"
"","","2009","8.86"
"","","2010","11.62"
"","","2011","12.65"
"","","2012","14.29"
"","","2013","16.59"
"","","2014","17.26"
"","","2015","19.43"
"","","2016","25.06"
"","Karaman-70","1991","13625.0"
"","","1992","30207.0"
"","","1993","47347.0"
"","","1994","103125.0"
"","","1995","222458.0"
"","","1996","364319.0"
"","","1997","702777.0"
"","","1998","1274166.0"
"","","1999","1840277.75"
"","","2000","2364652.78"
"","","2001","3231944.44"
"","","2002","4518939.39"
"","","2003","6520.83"
"","","2004","7526.04"
"","","2005","9.16"
"","","2006","9.34"
"","","2007","10.72"
"","","2008","10.69"
"","","2009","14.54"
"","","2010","15.63"
"","","2011","15.96"
"","","2012","16.17"
"","","2013","17.74"
"","","2014","19.18"
"","","2015","21.31"
"","","2016","24.74"
"","Kars-36","1980","29263.0"
"","","1981","31104.0"
"","","1982","36686.0"
"","","1983","53256.0"
"","","1984","83783.0"
"","","1985","1279.0"
"","","1986","1690.0"
"","","1987","1999.0"
"","","1988","3245.0"
"","","1989","5296.0"
"","","1990","9138.0"
"","","1991","14356.0"
"","","1992","21261.0"
"","","1993","34622.0"
"","","1994","68261.0"
"","","1995","149895.0"
"","","1996","247668.0"
"","","1997","457167.0"
"","","1998","862594.0"
"","","1999","1324603.25"
"","","2000","1705967.26"
"","","2001","2354737.1"
"","","2002","2725912.7"
"","","2003","3500.35"
"","","2004","4297.71"
"","","2005","4.52"
"","","2006","4.83"
"","","2007","4.75"
"","","2008","6.01"
"","","2009","6.76"
"","","2010","6.79"
"","","2011","7.22"
"","","2012","8.64"
"","","2013","11.07"
"","","2014","12.93"
"","","2015","17.15"
"","","2016","20.49"
"","Kastamonu-37","1980","30702.0"
"","","1981","34687.0"
"","","1982","38589.0"
"","","1983","57080.0"
"","","1984","80302.0"
"","","1985","1196.0"
"","","1986","1521.0"
"","","1987","1986.0"
"","","1988","3550.0"
"","","1989","5710.0"
"","","1990","10026.0"
"","","1991","15389.0"
"","","1992","24881.0"
"","","1993","37653.0"
"","","1994","80260.0"
"","","1995","165413.0"
"","","1996","273466.0"
"","","1997","475687.0"
"","","1998","898884.0"
"","","1999","1404645.25"
"","","2000","2047480.37"
"","","2001","2791513.69"
"","","2002","4214555.35"
"","","2003","5198.3"
"","","2004","6078.01"
"","","2005","5.19"
"","","2006","6.48"
"","","2007","7.17"
"","","2008","8.69"
"","","2009","9.75"
"","","2010","10.64"
"","","2011","11.77"
"","","2012","12.95"
"","","2013","15.25"
"","","2014","17.77"
"","","2015","20.45"
"","","2016","23.27"
"","Kayseri-38","1980","32331.0"
"","","1981","42272.0"
"","","1982","49740.0"
"","","1983","65462.0"
"","","1984","69585.0"
"","","1985","1678.0"
"","","1986","2066.0"
"","","1987","2659.0"
"","","1988","4353.0"
"","","1989","7405.0"
"","","1990","13163.0"
"","","1991","18623.0"
"","","1992","28708.0"
"","","1993","42880.0"
"","","1994","93871.0"
"","","1995","205062.0"
"","","1996","343992.0"
"","","1997","582487.0"
"","","1998","1227826.0"
"","","1999","1973687.42"
"","","2000","2685254.18"
"","","2001","3743975.47"
"","","2002","5294808.2"
"","","2003","6844.31"
"","","2004","7589.38"
"","","2005","7.08"
"","","2006","8.01"
"","","2007","7.68"
"","","2008","8.72"
"","","2009","9.15"
"","","2010","9.58"
"","","2011","10.68"
"","","2012","13.01"
"","","2013","16.83"
"","","2014","19.57"
"","","2015","22.52"
"","","2016","24.72"
"","Kilis-79","1995","176666.0"
"","","1996","277272.0"
"","","1997","691666.0"
"","","1998","1466666.0"
"","","1999","1750000.0"
"","","2000","2187500.0"
"","","2001","2996875.0"
"","","2002","3800000.0"
"","","2003","4704.55"
"","","2004","4979.17"
"","","2005","5.2"
"","","2006","6.06"
"","","2007","6.35"
"","","2008","6.8"
"","","2009","6.78"
"","","2010","8.01"
"","","2011","10.81"
"","","2012","14.17"
"","","2013","14.22"
"","","2014","15.89"
"","","2015","16.03"
"","","2016","22.89"
"","Kırıkkale-71","1991","15364.0"
"","","1992","27556.0"
"","","1993","55072.0"
"","","1994","99058.0"
"","","1995","189121.0"
"","","1996","306287.0"
"","","1997","547896.0"
"","","1998","1140798.0"
"","","1999","1437205.92"
"","","2000","2148472.22"
"","","2001","2943406.64"
"","","2002","4318214.29"
"","","2003","5478.48"
"","","2004","5748.96"
"","","2005","7.53"
"","","2006","8.41"
"","","2007","8.41"
"","","2008","8.2"
"","","2009","9.18"
"","","2010","10.75"
"","","2011","11.99"
"","","2012","13.89"
"","","2013","15.58"
"","","2014","18.96"
"","","2015","20.85"
"","","2016","27.19"
"","Kırklareli-39","1980","27642.0"
"","","1981","34642.0"
"","","1982","40347.0"
"","","1983","51031.0"
"","","1984","78888.0"
"","","1985","1260.0"
"","","1986","1695.0"
"","","1987","2227.0"
"","","1988","3743.0"
"","","1989","5620.0"
"","","1990","9324.0"
"","","1991","15837.0"
"","","1992","26691.0"
"","","1993","40732.0"
"","","1994","78833.0"
"","","1995","168694.0"
"","","1996","253769.0"
"","","1997","519007.0"
"","","1998","981647.0"
"","","1999","1298658.42"
"","","2000","2444861.11"
"","","2001","2914464.29"
"","","2002","4079166.67"
"","","2003","4904.17"
"","","2004","5508.83"
"","","2005","6.07"
"","","2006","6.8"
"","","2007","6.11"
"","","2008","6.05"
"","","2009","7.58"
"","","2010","10.55"
"","","2011","11.07"
"","","2012","10.48"
"","","2013","13.62"
"","","2014","17.24"
"","","2015","20.14"
"","","2016","24.57"
"","Kırşehir-40","1980","36250.0"
"","","1981","47500.0"
"","","1982","52333.0"
"","","1983","64583.0"
"","","1984","97222.0"
"","","1985","1598.0"
"","","1986","2151.0"
"","","1987","2445.0"
"","","1988","3750.0"
"","","1989","6243.0"
"","","1990","11000.0"
"","","1991","17275.0"
"","","1992","25125.0"
"","","1993","40556.0"
"","","1994","85666.0"
"","","1995","168652.0"
"","","1996","294541.0"
"","","1997","489722.0"
"","","1998","1008958.0"
"","","1999","1660486.08"
"","","2000","2262361.11"
"","","2001","3855208.33"
"","","2002","5459027.78"
"","","2003","6368.15"
"","","2004","7490.97"
"","","2005","7.92"
"","","2006","8.18"
"","","2007","8.73"
"","","2008","9.19"
"","","2009","9.74"
"","","2010","12.48"
"","","2011","13.42"
"","","2012","14.49"
"","","2013","15.02"
"","","2014","18.46"
"","","2015","22.9"
"","","2016","25.18"
"","Kocaeli-41","1980","30833.0"
"","","1981","37750.0"
"","","1982","48250.0"
"","","1983","59666.0"
"","","1984","81333.0"
"","","1985","1429.0"
"","","1986","1753.0"
"","","1987","2160.0"
"","","1988","4091.0"
"","","1989","7052.0"
"","","1990","12870.0"
"","","1991","18418.0"
"","","1992","32512.0"
"","","1993","45626.0"
"","","1994","94854.0"
"","","1995","209222.0"
"","","1996","294250.0"
"","","1997","554611.0"
"","","1998","1143766.0"
"","","1999","1850188.17"
"","","2000","2344652.78"
"","","2001","3259027.78"
"","","2002","5166388.89"
"","","2003","6366.67"
"","","2004","7538.19"
"","","2005","7.71"
"","","2006","8.63"
"","","2007","6.0"
"","","2008","8.52"
"","","2009","11.19"
"","","2010","12.35"
"","","2011","11.02"
"","","2012","12.39"
"","","2013","15.74"
"","","2014","17.54"
"","","2015","19.96"
"","","2016","28.04"
"","Konya-42","1980","30050.0"
"","","1981","37187.0"
"","","1982","42796.0"
"","","1983","58981.0"
"","","1984","87227.0"
"","","1985","1341.0"
"","","1986","1660.0"
"","","1987","2336.0"
"","","1988","3994.0"
"","","1989","6405.0"
"","","1990","10525.0"
"","","1991","16443.0"
"","","1992","27376.0"
"","","1993","45762.0"
"","","1994","98538.0"
"","","1995","196976.0"
"","","1996","331033.0"
"","","1997","619892.0"
"","","1998","1273729.0"
"","","1999","1786271.17"
"","","2000","2563162.95"
"","","2001","3540412.37"
"","","2002","4956810.9"
"","","2003","5709.04"
"","","2004","6819.76"
"","","2005","6.58"
"","","2006","7.39"
"","","2007","8.01"
"","","2008","9.25"
"","","2009","10.29"
"","","2010","11.62"
"","","2011","12.33"
"","","2012","14.11"
"","","2013","16.08"
"","","2014","19.71"
"","","2015","23.83"
"","","2016","25.78"
"","Kütahya-43","1980","31388.0"
"","","1981","32618.0"
"","","1982","49555.0"
"","","1983","68809.0"
"","","1984","89047.0"
"","","1985","1330.0"
"","","1986","1776.0"
"","","1987","2386.0"
"","","1988","4085.0"
"","","1989","6689.0"
"","","1990","11605.0"
"","","1991","18014.0"
"","","1992","30038.0"
"","","1993","44250.0"
"","","1994","87960.0"
"","","1995","190667.0"
"","","1996","288172.0"
"","","1997","521761.0"
"","","1998","1077066.0"
"","","1999","1659279.42"
"","","2000","2379943.18"
"","","2001","3766717.17"
"","","2002","5063068.18"
"","","2003","5905.76"
"","","2004","7022.52"
"","","2005","6.89"
"","","2006","7.47"
"","","2007","7.52"
"","","2008","9.13"
"","","2009","9.71"
"","","2010","11.39"
"","","2011","11.97"
"","","2012","12.63"
"","","2013","14.43"
"","","2014","16.08"
"","","2015","18.63"
"","","2016","24.55"
"","Malatya-44","1980","32675.0"
"","","1981","40634.0"
"","","1982","47774.0"
"","","1983","64437.0"
"","","1984","95555.0"
"","","1985","1570.0"
"","","1986","1969.0"
"","","1987","2630.0"
"","","1988","4130.0"
"","","1989","6771.0"
"","","1990","11435.0"
"","","1991","17549.0"
"","","1992","27145.0"
"","","1993","46112.0"
"","","1994","104323.0"
"","","1995","209284.0"
"","","1996","327383.0"
"","","1997","578822.0"
"","","1998","1162836.0"
"","","1999","1994040.36"
"","","2000","2608497.02"
"","","2001","3297809.19"
"","","2002","4630489.42"
"","","2003","5843.57"
"","","2004","7063.36"
"","","2005","7.34"
"","","2006","8.57"
"","","2007","8.54"
"","","2008","9.87"
"","","2009","12.0"
"","","2010","13.31"
"","","2011","13.95"
"","","2012","15.59"
"","","2013","18.25"
"","","2014","19.58"
"","","2015","23.18"
"","","2016","27.0"
"","Manisa-45","1980","27153.0"
"","","1981","31597.0"
"","","1982","41911.0"
"","","1983","54486.0"
"","","1984","79935.0"
"","","1985","1295.0"
"","","1986","1612.0"
"","","1987","2091.0"
"","","1988","3600.0"
"","","1989","6471.0"
"","","1990","11123.0"
"","","1991","16435.0"
"","","1992","28041.0"
"","","1993","41269.0"
"","","1994","85133.0"
"","","1995","177107.0"
"","","1996","278329.0"
"","","1997","533471.0"
"","","1998","1042778.0"
"","","1999","1517455.25"
"","","2000","2046646.06"
"","","2001","2725236.78"
"","","2002","3856846.86"
"","","2003","4957.51"
"","","2004","5733.45"
"","","2005","6.09"
"","","2006","7.01"
"","","2007","7.05"
"","","2008","8.04"
"","","2009","9.08"
"","","2010","10.07"
"","","2011","9.94"
"","","2012","10.58"
"","","2013","12.03"
"","","2014","12.42"
"","","2015","15.01"
"","","2016","18.89"
"","Mardin-47","1980","33450.0"
"","","1981","40427.0"
"","","1982","48610.0"
"","","1983","58944.0"
"","","1984","90800.0"
"","","1985","1731.0"
"","","1986","2272.0"
"","","1987","2427.0"
"","","1988","3986.0"
"","","1989","6591.0"
"","","1990","10149.0"
"","","1991","14556.0"
"","","1992","23910.0"
"","","1993","41085.0"
"","","1994","88625.0"
"","","1995","155152.0"
"","","1996","333388.0"
"","","1997","643710.0"
"","","1998","1393819.0"
"","","1999","1948670.75"
"","","2000","2956111.11"
"","","2001","5390625.0"
"","","2002","6948916.67"
"","","2003","8166.67"
"","","2004","9375.0"
"","","2005","11.33"
"","","2006","12.86"
"","","2007","10.51"
"","","2008","11.97"
"","","2009","10.87"
"","","2010","10.87"
"","","2011","12.84"
"","","2012","14.42"
"","","2013","15.23"
"","","2014","16.28"
"","","2015","19.89"
"","","2016","27.11"
"","Mersin-33","1980","31180.0"
"","","1981","37589.0"
"","","1982","45000.0"
"","","1983","57857.0"
"","","1984","81388.0"
"","","1985","1351.0"
"","","1986","1568.0"
"","","1987","2140.0"
"","","1988","3871.0"
"","","1989","5589.0"
"","","1990","9168.0"
"","","1991","14227.0"
"","","1992","25583.0"
"","","1993","36483.0"
"","","1994","81493.0"
"","","1995","174388.0"
"","","1996","282471.0"
"","","1997","491994.0"
"","","1998","1003789.0"
"","","1999","1537797.67"
"","","2000","2050057.87"
"","","2001","2812326.39"
"","","2002","4205803.57"
"","","2003","5472.54"
"","","2004","6632.88"
"","","2005","6.96"
"","","2006","7.79"
"","","2007","7.9"
"","","2008","9.06"
"","","2009","11.1"
"","","2010","11.61"
"","","2011","12.6"
"","","2012","13.42"
"","","2013","14.12"
"","","2014","14.88"
"","","2015","20.44"
"","","2016","21.09"
"","Muğla-48","1980","27300.0"
"","","1981","28794.0"
"","","1982","36087.0"
"","","1983","45879.0"
"","","1984","73032.0"
"","","1985","1134.0"
"","","1986","1332.0"
"","","1987","1631.0"
"","","1988","3168.0"
"","","1989","4798.0"
"","","1990","8296.0"
"","","1991","12470.0"
"","","1992","20924.0"
"","","1993","31850.0"
"","","1994","66932.0"
"","","1995","143906.0"
"","","1996","224240.0"
"","","1997","439187.0"
"","","1998","901572.0"
"","","1999","1348813.67"
"","","2000","1714095.12"
"","","2001","2366544.61"
"","","2002","3796969.7"
"","","2003","4441.13"
"","","2004","4986.23"
"","","2005","5.31"
"","","2006","5.8"
"","","2007","6.17"
"","","2008","7.17"
"","","2009","8.75"
"","","2010","9.57"
"","","2011","10.45"
"","","2012","13.27"
"","","2013","16.41"
"","","2014","17.34"
"","","2015","20.9"
"","","2016","26.26"
"","Muş-49","1980","29999.0"
"","","1981","33125.0"
"","","1982","34444.0"
"","","1983","51250.0"
"","","1984","75833.0"
"","","1985","1323.0"
"","","1986","1847.0"
"","","1987","1959.0"
"","","1988","3549.0"
"","","1989","5034.0"
"","","1990","9736.0"
"","","1991","14408.0"
"","","1992","21792.0"
"","","1993","30046.0"
"","","1994","58166.0"
"","","1995","136493.0"
"","","1996","259722.0"
"","","1997","415277.0"
"","","1998","737152.0"
"","","1999","1221514.58"
"","","2000","2002916.67"
"","","2001","3309166.67"
"","","2002","4447500.0"
"","","2003","6166.25"
"","","2004","6204.86"
"","","2005","5.66"
"","","2006","6.1"
"","","2007","5.66"
"","","2008","7.54"
"","","2009","10.58"
"","","2010","11.91"
"","","2011","12.03"
"","","2012","14.11"
"","","2013","13.91"
"","","2014","15.39"
"","","2015","19.05"
"","","2016","24.27"
"","Nevşehir-50","1980","33908.0"
"","","1981","42500.0"
"","","1982","41309.0"
"","","1983","58610.0"
"","","1984","88452.0"
"","","1985","1494.0"
"","","1986","1742.0"
"","","1987","2154.0"
"","","1988","3648.0"
"","","1989","6090.0"
"","","1990","10432.0"
"","","1991","17081.0"
"","","1992","28736.0"
"","","1993","42747.0"
"","","1994","93660.0"
"","","1995","184811.0"
"","","1996","294141.0"
"","","1997","582728.0"
"","","1998","1082638.0"
"","","1999","1571687.5"
"","","2000","2506458.33"
"","","2001","3651805.56"
"","","2002","4941984.13"
"","","2003","6159.85"
"","","2004","6412.78"
"","","2005","5.9"
"","","2006","6.8"
"","","2007","7.64"
"","","2008","8.57"
"","","2009","10.48"
"","","2010","11.63"
"","","2011","12.7"
"","","2012","14.0"
"","","2013","14.76"
"","","2014","18.15"
"","","2015","21.37"
"","","2016","25.18"
"","Niğde-51","1980","34722.0"
"","","1981","38583.0"
"","","1982","40555.0"
"","","1983","59999.0"
"","","1984","88333.0"
"","","1985","1370.0"
"","","1986","1690.0"
"","","1987","2163.0"
"","","1988","3977.0"
"","","1989","6205.0"
"","","1990","12083.0"
"","","1991","16962.0"
"","","1992","30107.0"
"","","1993","47744.0"
"","","1994","88722.0"
"","","1995","191347.0"
"","","1996","297569.0"
"","","1997","528652.0"
"","","1998","1150888.0"
"","","1999","1630902.83"
"","","2000","2374545.45"
"","","2001","3565000.0"
"","","2002","4636111.11"
"","","2003","5966.31"
"","","2004","6884.38"
"","","2005","7.08"
"","","2006","8.14"
"","","2007","7.74"
"","","2008","9.25"
"","","2009","10.09"
"","","2010","11.74"
"","","2011","11.52"
"","","2012","12.51"
"","","2013","13.47"
"","","2014","16.88"
"","","2015","18.89"
"","","2016","22.2"
"","Ordu-52","1980","25796.0"
"","","1981","27393.0"
"","","1982","34710.0"
"","","1983","44983.0"
"","","1984","70560.0"
"","","1985","1000.0"
"","","1986","1311.0"
"","","1987","1706.0"
"","","1988","3054.0"
"","","1989","4973.0"
"","","1990","8357.0"
"","","1991","12102.0"
"","","1992","19534.0"
"","","1993","30332.0"
"","","1994","68969.0"
"","","1995","146075.0"
"","","1996","237548.0"
"","","1997","394231.0"
"","","1998","820792.0"
"","","1999","1170451.67"
"","","2001","3081311.27"
"","","2002","4100583.33"
"","","2003","4549.58"
"","","2004","4623.32"
"","","2005","4.74"
"","","2006","5.67"
"","","2007","5.51"
"","","2008","6.66"
"","","2009","7.93"
"","","2010","9.23"
"","","2011","10.78"
"","","2012","11.88"
"","","2013","13.65"
"","","2014","18.3"
"","","2015","23.07"
"","","2016","26.2"
"","Osmaniye-80","1997","426138.0"
"","","1998","859583.0"
"","","2000","1881527.78"
"","","2001","2535416.67"
"","","2002","3657407.41"
"","","2003","4142.71"
"","","2004","4470.14"
"","","2005","4.57"
"","","2006","4.98"
"","","2007","4.98"
"","","2008","5.74"
"","","2009","6.77"
"","","2010","8.29"
"","","2011","9.19"
"","","2012","9.64"
"","","2013","10.98"
"","","2014","12.95"
"","","2015","17.13"
"","","2016","18.83"
"","Rize-53","1980","30336.0"
"","","1981","33958.0"
"","","1982","41904.0"
"","","1983","56777.0"
"","","1984","85674.0"
"","","1985","1347.0"
"","","1986","1829.0"
"","","1987","2317.0"
"","","1988","3942.0"
"","","1989","6760.0"
"","","1990","11425.0"
"","","1991","17071.0"
"","","1992","28220.0"
"","","1993","39562.0"
"","","1994","100663.0"
"","","1995","214628.0"
"","","1996","364147.0"
"","","1997","631193.0"
"","","1998","1375259.0"
"","","1999","1905069.25"
"","","2001","3747503.31"
"","","2002","4669117.06"
"","","2003","5696.18"
"","","2004","6259.97"
"","","2005","6.89"
"","","2006","8.16"
"","","2007","9.27"
"","","2008","10.19"
"","","2009","11.63"
"","","2010","12.25"
"","","2011","13.98"
"","","2012","16.04"
"","","2013","18.0"
"","","2014","21.97"
"","","2015","26.59"
"","","2016","28.2"
"","Sakarya-54","1980","26694.0"
"","","1981","38125.0"
"","","1982","43952.0"
"","","1983","54682.0"
"","","1984","83650.0"
"","","1985","1210.0"
"","","1986","1537.0"
"","","1987","2046.0"
"","","1988","3559.0"
"","","1989","6222.0"
"","","1990","11383.0"
"","","1991","16460.0"
"","","1992","27293.0"
"","","1993","41272.0"
"","","1994","81156.0"
"","","1995","192849.0"
"","","1996","283731.0"
"","","1997","569801.0"
"","","1998","1233804.0"
"","","1999","1610821.75"
"","","2000","2148206.02"
"","","2001","3259275.79"
"","","2002","5330547.29"
"","","2003","6591.0"
"","","2004","7142.79"
"","","2005","7.09"
"","","2006","7.93"
"","","2007","8.37"
"","","2008","9.3"
"","","2009","11.27"
"","","2010","11.89"
"","","2011","14.04"
"","","2012","14.87"
"","","2013","17.14"
"","","2014","18.45"
"","","2015","22.24"
"","","2016","24.75"
"","Samsun-55","1980","27455.0"
"","","1981","31180.0"
"","","1982","36944.0"
"","","1983","48795.0"
"","","1984","76851.0"
"","","1985","1168.0"
"","","1986","1426.0"
"","","1987","1897.0"
"","","1988","3384.0"
"","","1989","5072.0"
"","","1990","8890.0"
"","","1991","12740.0"
"","","1992","21377.0"
"","","1993","34141.0"
"","","1994","80007.0"
"","","1995","157067.0"
"","","1996","249604.0"
"","","1997","445858.0"
"","","1998","975922.0"
"","","1999","1398177.0"
"","","2000","1750404.29"
"","","2001","2615379.3"
"","","2002","3896527.78"
"","","2003","4400.91"
"","","2004","4895.87"
"","","2005","5.3"
"","","2006","5.91"
"","","2007","6.29"
"","","2008","7.71"
"","","2009","8.97"
"","","2010","10.17"
"","","2011","10.94"
"","","2012","12.74"
"","","2013","14.86"
"","","2014","18.42"
"","","2015","22.17"
"","","2016","25.26"
"","Şanlıurfa-63","1980","32117.0"
"","","1981","42083.0"
"","","1982","49375.0"
"","","1983","70952.0"
"","","1984","95476.0"
"","","1985","1701.0"
"","","1986","2348.0"
"","","1987","2803.0"
"","","1988","4091.0"
"","","1989","6455.0"
"","","1990","13425.0"
"","","1991","18318.0"
"","","1992","29441.0"
"","","1993","51090.0"
"","","1994","90642.0"
"","","1995","222505.0"
"","","1996","356535.0"
"","","1997","684242.0"
"","","1998","1226369.0"
"","","1999","1768222.17"
"","","2000","2999682.54"
"","","2001","3612633.93"
"","","2002","5038253.97"
"","","2003","6711.67"
"","","2004","7637.5"
"","","2005","8.41"
"","","2006","9.5"
"","","2007","9.13"
"","","2008","11.78"
"","","2009","16.63"
"","","2010","15.68"
"","","2011","14.94"
"","","2012","15.21"
"","","2013","16.35"
"","","2014","19.69"
"","","2015","21.17"
"","","2016","20.08"
"","Siirt-56","1980","28183.0"
"","","1981","35515.0"
"","","1982","49772.0"
"","","1983","57032.0"
"","","1984","84229.0"
"","","1985","1434.0"
"","","1986","1891.0"
"","","1987","2769.0"
"","","1988","4275.0"
"","","1989","6402.0"
"","","1990","11207.0"
"","","1991","20465.0"
"","","1992","30717.0"
"","","1993","42136.0"
"","","1994","88666.0"
"","","1995","169375.0"
"","","1996","275375.0"
"","","1997","489597.0"
"","","1998","1253680.0"
"","","1999","1964513.92"
"","","2000","2757575.76"
"","","2001","4118055.56"
"","","2002","4555555.56"
"","","2003","5123.61"
"","","2004","5979.17"
"","","2005","5.93"
"","","2006","7.34"
"","","2007","7.25"
"","","2008","6.5"
"","","2009","10.23"
"","","2010","14.44"
"","","2011","16.81"
"","","2012","19.79"
"","","2013","23.73"
"","","2014","24.47"
"","","2015","27.94"
"","","2016","29.89"
"","Sinop-57","1980","34067.0"
"","","1981","41781.0"
"","","1982","45991.0"
"","","1983","56745.0"
"","","1984","82579.0"
"","","1985","1330.0"
"","","1986","1638.0"
"","","1987","2013.0"
"","","1988","3494.0"
"","","1989","6059.0"
"","","1990","9874.0"
"","","1991","15459.0"
"","","1992","25471.0"
"","","1993","36904.0"
"","","1994","84599.0"
"","","1995","180572.0"
"","","1996","296195.0"
"","","1997","501592.0"
"","","1998","1008035.0"
"","","1999","1508370.83"
"","","2000","2154381.2"
